Item,name,item_type,icon,price,rarity,,
Item,Rusty Spoon,ARTIFACT,none,2,COMMON,,
Item,Rusty Spur,ARTIFACT,none,2,COMMON,,
Item,Arrowhead,ARTIFACT,none,4,COMMON,,
Item,Pottery Shard,ARTIFACT,none,5,COMMON,,
Item,Dinosaur Egg,ARTIFACT,none,100,EPIC,,
Item,Fossilized Skull,ARTIFACT,none,100,EPIC,,
Item,Golden Plate,ARTIFACT,none,200,EPIC,,
Item,Ammonite,ARTIFACT,none,30,RARE,,
Item,Fossilized Claw,ARTIFACT,none,45,RARE,,
Item,Fossilized Tooth,ARTIFACT,none,45,RARE,,
Item,Trilobite,ARTIFACT,none,30,RARE,,
Item,Fossilized Shell,ARTIFACT,none,50,RARE,,
Item,Coprolite,ARTIFACT,none,1,UNCOMMON,,
Item,Footprint,ARTIFACT,none,10,UNCOMMON,,
Item,Petrified Leaf,ARTIFACT,none,12,UNCOMMON,,
Item,Petrified Twig,ARTIFACT,none,14,UNCOMMON,,
Item,Amber,ARTIFACT,none,16,UNCOMMON,,
Item,Prehistoric Handaxe,ARTIFACT,none,25,UNCOMMON,,
Item,Prehistoric Tool,ARTIFACT,none,25,UNCOMMON,,
Item,Gooseberries,BERRY,none,1,COMMON,,
Item,Huckleberries,BERRY,none,1,COMMON,,
Item,Salmonberries,BERRY,none,1,COMMON,,
Item,Blueberries,BERRY,none,5,RARE,,
Item,Juniperberries,BERRY,none,5,RARE,,
Item,Blackberries,BERRY,none,3,UNCOMMON,,
Item,Mulberries,BERRY,none,3,UNCOMMON,,
Item,Raspberries,BERRY,none,3,UNCOMMON,,
Item,Spiceberries,BERRY,none,3,UNCOMMON,,
Item,Anchovy,FISH,none,2,COMMON,,
Item,Carp,FISH,none,5,COMMON,,
Item,Chub,FISH,none,4,COMMON,,
Item,Goldfish,FISH,none,2,COMMON,,
Item,Sardine,FISH,none,2,COMMON,,
Item,Herring,FISH,none,6,COMMON,,
Item,Shad,FISH,none,6,COMMON,,
Item,Trout,FISH,none,7,COMMON,,
Item,Bass,FISH,none,8,COMMON,,
Item,Flounder,FISH,none,8,COMMON,,
Item,Angelfish,FISH,none,70,EPIC,,
Item,Lionfish,FISH,none,70,EPIC,,
Item,Catfish,FISH,none,30,RARE,,
Item,Sturgeon,FISH,none,30,RARE,,
Item,Octopus,FISH,none,35,RARE,,
Item,Squid,FISH,none,35,RARE,,
Item,Jellyfish,FISH,none,1,UNCOMMON,,
Item,Eel,FISH,none,10,UNCOMMON,,
